date,name,cases_rolling,facebook_mobility_score
2020-01-15,Whittlesea (C),0.0,
2020-01-15,Wyndham (C),0.0,
2020-01-15,Yarra (C),0.0,
2020-01-15,all,0.0,
2020-01-15,highSE,0.0,
2020-01-15,lowSE,0.0,
2020-01-15,midSE,0.0,
2020-01-16,Banyule (C),0.0,
2020-01-16,Bayside (C),0.0,
2020-01-16,Boroondara (C),0.0,
2020-01-16,Brimbank (C),0.0,
2020-01-16,Cardinia (S),0.0,
2020-01-16,Casey (C),0.0,
2020-01-16,Darebin (C),0.0,
2020-01-16,Frankston (C),0.0,
2020-01-16,Glen Eira (C),0.0,
2020-01-16,Greater Dandenong (C),0.0,
2020-01-16,Hobsons Bay (C),0.0,
2020-01-16,Hume (C),0.0,
2020-01-16,Kingston (C) (Vic.),,
2020-01-16,Knox (C),0.0,
2020-01-16,Manningham (C),0.0,
2020-01-16,Maribyrnong (C),0.0,
2020-01-16,Maroondah (C),0.0,
2020-01-16,Melbourne (C),0.0,
2020-01-16,Melton (C),0.0,
2020-01-16,Monash (C),0.0,
2020-01-16,Moonee Valley (C),0.0,
2020-01-16,Moreland (C),0.0,
2020-01-16,Mornington Peninsula (S),0.0,
2020-01-16,Nillumbik (S),0.0,
2020-01-16,Port Phillip (C),0.0,
2020-01-16,Stonnington (C),0.0,
2020-01-16,Whitehorse (C),0.0,
2020-01-16,Whittlesea (C),0.0,
2020-01-16,Wyndham (C),0.0,
2020-01-16,Yarra (C),0.0,
2020-01-16,all,0.0,
2020-01-16,highSE,0.0,
2020-01-16,lowSE,0.0,
2020-01-16,midSE,0.0,
2020-01-17,Banyule (C),0.0,
2020-01-17,Bayside (C),0.0,
2020-01-17,Boroondara (C),0.0,
2020-01-17,Brimbank (C),0.0,
2020-01-17,Cardinia (S),0.0,
2020-01-17,Casey (C),0.0,
2020-01-17,Darebin (C),0.0,
2020-01-17,Frankston (C),0.0,
2020-01-17,Glen Eira (C),0.0,
2020-01-17,Greater Dandenong (C),0.0,
2020-01-17,Hobsons Bay (C),0.0,
2020-01-17,Hume (C),0.0,
2020-01-17,Kingston (C) (Vic.),,
2020-01-17,Knox (C),0.0,
2020-01-17,Manningham (C),0.0,
2020-01-17,Maribyrnong (C),0.0,
2020-01-17,Maroondah (C),0.0,
2020-01-17,Melbourne (C),0.0,
2020-01-17,Melton (C),0.0,
2020-01-17,Monash (C),0.0,
2020-01-17,Moonee Valley (C),0.0,
2020-01-17,Moreland (C),0.0,
2020-01-17,Mornington Peninsula (S),0.0,
2020-01-17,Nillumbik (S),0.0,
2020-01-17,Port Phillip (C),0.0,
2020-01-17,Stonnington (C),0.0,
2020-01-17,Whitehorse (C),0.0,
2020-01-17,Whittlesea (C),0.0,
2020-01-17,Wyndham (C),0.0,
2020-01-17,Yarra (C),0.0,
2020-01-17,all,0.0,
2020-01-17,highSE,0.0,
2020-01-17,lowSE,0.0,
2020-01-17,midSE,0.0,
2020-01-18,Banyule (C),0.0,
2020-01-18,Bayside (C),0.0,
2020-01-18,Boroondara (C),0.0,
2020-01-18,Brimbank (C),0.0,
2020-01-18,Cardinia (S),0.0,
2020-01-18,Casey (C),0.0,
2020-01-18,Darebin (C),0.0,
2020-01-18,Frankston (C),0.0,
2020-01-18,Glen Eira (C),0.0,
2020-01-18,Greater Dandenong (C),0.0,
2020-01-18,Hobsons Bay (C),0.0,
2020-01-18,Hume (C),0.0,
2020-01-18,Kingston (C) (Vic.),,
2020-01-18,Knox (C),0.0,
2020-01-18,Manningham (C),0.0,
2020-01-18,Maribyrnong (C),0.0,
2020-01-18,Maroondah (C),0.0,
2020-01-18,Melbourne (C),0.0,
2020-01-18,Melton (C),0.0,
2020-01-18,Monash (C),0.0,
2020-01-18,Moonee Valley (C),0.0,
2020-01-18,Moreland (C),0.0,
2020-01-18,Mornington Peninsula (S),0.0,
2020-01-18,Nillumbik (S),0.0,
2020-01-18,Port Phillip (C),0.0,
2020-01-18,Stonnington (C),0.0,
2020-01-18,Whitehorse (C),0.0,
2020-01-18,Whittlesea (C),0.0,
2020-01-18,Wyndham (C),0.0,
2020-01-18,Yarra (C),0.0,
2020-01-18,all,0.0,
2020-01-18,highSE,0.0,
2020-01-18,lowSE,0.0,
2020-01-18,midSE,0.0,
2020-01-19,Banyule (C),0.0,
2020-01-19,Bayside (C),0.0,
2020-01-19,Boroondara (C),0.0,
2020-01-19,Brimbank (C),0.0,
2020-01-19,Cardinia (S),0.0,
2020-01-19,Casey (C),0.0,
2020-01-19,Darebin (C),0.0,
2020-01-19,Frankston (C),0.0,
2020-01-19,Glen Eira (C),0.0,
2020-01-19,Greater Dandenong (C),0.0,
2020-01-19,Hobsons Bay (C),0.0,
2020-01-19,Hume (C),0.0,
2020-01-19,Kingston (C) (Vic.),,
2020-01-19,Knox (C),0.0,
2020-01-19,Manningham (C),0.0,
2020-01-19,Maribyrnong (C),0.0,
2020-01-19,Maroondah (C),0.0,
2020-01-19,Melbourne (C),0.0,
2020-01-19,Melton (C),0.0,
2020-01-19,Monash (C),0.0,
2020-01-19,Moonee Valley (C),0.0,
2020-01-19,Moreland (C),0.0,
2020-01-19,Mornington Peninsula (S),0.0,
2020-01-19,Nillumbik (S),0.0,
2020-01-19,Port Phillip (C),0.0,
2020-01-19,Stonnington (C),0.0,
2020-01-19,Whitehorse (C),0.0,
2020-01-19,Whittlesea (C),0.0,
2020-01-19,Wyndham (C),0.0,
2020-01-19,Yarra (C),0.0,
2020-01-19,all,0.0,
2020-01-19,highSE,0.0,
2020-01-19,lowSE,0.0,
2020-01-19,midSE,0.0,
2020-01-20,Banyule (C),0.0,
2020-01-20,Bayside (C),0.0,
2020-01-20,Boroondara (C),0.0,
2020-01-20,Brimbank (C),0.0,
2020-01-20,Cardinia (S),0.0,
2020-01-20,Casey (C),0.0,
2020-01-20,Darebin (C),0.0,
2020-01-20,Frankston (C),0.0,
2020-01-20,Glen Eira (C),0.0,
2020-01-20,Greater Dandenong (C),0.0,
2020-01-20,Hobsons Bay (C),0.0,
2020-01-20,Hume (C),0.0,
2020-01-20,Kingston (C) (Vic.),,
2020-01-20,Knox (C),0.0,
2020-01-20,Manningham (C),0.0,
2020-01-20,Maribyrnong (C),0.0,
2020-01-20,Maroondah (C),0.0,
2020-01-20,Melbourne (C),0.0,
2020-01-20,Melton (C),0.0,
