date,name,cases_rolling,facebook_mobility_score
2020-01-11,Fairfield (C),0.0,
2020-01-11,Georges River (A),0.0,
2020-01-11,Hawkesbury (C),0.0,
2020-01-11,Hornsby (A),0.0,
2020-01-11,Hunters Hill (A),0.0,
2020-01-11,Inner West (A),0.0,
2020-01-11,Ku-ring-gai (A),0.0,
2020-01-11,Lane Cove (A),0.0,
2020-01-11,Liverpool (C),0.0,
2020-01-11,Mosman (A),0.0,
2020-01-11,North Sydney (A),0.0,
2020-01-11,Northern Beaches (A),0.0,
2020-01-11,Parramatta (C),0.0,
2020-01-11,Penrith (C),0.0,
2020-01-11,Randwick (C),0.0,
2020-01-11,Ryde (C),0.0,
2020-01-11,Strathfield (A),0.0,
2020-01-11,Sydney (C),0.0,
2020-01-11,The Hills Shire (A),0.0,
2020-01-11,Waverley (A),0.0,
2020-01-11,Willoughby (C),0.0,
2020-01-11,Woollahra (A),0.0,
2020-01-11,all,0.0,
2020-01-11,highSE,0.0,
2020-01-11,lowSE,0.0,
2020-01-11,midSE,0.0,
2020-01-12,Bayside (A),0.0,
2020-01-12,Blacktown (C),0.0,
2020-01-12,Burwood (A),0.0,
2020-01-12,Camden (A),0.0,
2020-01-12,Canada Bay (A),0.0,
2020-01-12,Canterbury-Bankstown (A),0.0,
2020-01-12,Central Coast (C) (NSW),0.0,
2020-01-12,Cumberland (A),0.0,
2020-01-12,Fairfield (C),0.0,
2020-01-12,Georges River (A),0.0,
2020-01-12,Hawkesbury (C),0.0,
2020-01-12,Hornsby (A),0.0,
2020-01-12,Hunters Hill (A),0.0,
2020-01-12,Inner West (A),0.0,
2020-01-12,Ku-ring-gai (A),0.0,
2020-01-12,Lane Cove (A),0.0,
2020-01-12,Liverpool (C),0.0,
2020-01-12,Mosman (A),0.0,
2020-01-12,North Sydney (A),0.0,
2020-01-12,Northern Beaches (A),0.0,
2020-01-12,Parramatta (C),0.0,
2020-01-12,Penrith (C),0.0,
2020-01-12,Randwick (C),0.0,
2020-01-12,Ryde (C),0.0,
2020-01-12,Strathfield (A),0.0,
2020-01-12,Sydney (C),0.0,
2020-01-12,The Hills Shire (A),0.0,
2020-01-12,Waverley (A),0.0,
2020-01-12,Willoughby (C),0.0,
2020-01-12,Woollahra (A),0.0,
2020-01-12,all,0.0,
2020-01-12,highSE,0.0,
2020-01-12,lowSE,0.0,
2020-01-12,midSE,0.0,
2020-01-13,Bayside (A),0.0,
2020-01-13,Blacktown (C),0.0,
2020-01-13,Burwood (A),0.0,
2020-01-13,Camden (A),0.0,
2020-01-13,Canada Bay (A),0.0,
2020-01-13,Canterbury-Bankstown (A),0.0,
2020-01-13,Central Coast (C) (NSW),0.0,
2020-01-13,Cumberland (A),0.0,
2020-01-13,Fairfield (C),0.0,
2020-01-13,Georges River (A),0.0,
2020-01-13,Hawkesbury (C),0.0,
2020-01-13,Hornsby (A),0.0,
2020-01-13,Hunters Hill (A),0.0,
2020-01-13,Inner West (A),0.0,
2020-01-13,Ku-ring-gai (A),0.0,
2020-01-13,Lane Cove (A),0.0,
2020-01-13,Liverpool (C),0.0,
2020-01-13,Mosman (A),0.0,
2020-01-13,North Sydney (A),0.0,
2020-01-13,Northern Beaches (A),0.0,
2020-01-13,Parramatta (C),0.0,
2020-01-13,Penrith (C),0.0,
2020-01-13,Randwick (C),0.0,
2020-01-13,Ryde (C),0.0,
2020-01-13,Strathfield (A),0.0,
2020-01-13,Sydney (C),0.0,
2020-01-13,The Hills Shire (A),0.0,
2020-01-13,Waverley (A),0.0,
2020-01-13,Willoughby (C),0.0,
2020-01-13,Woollahra (A),0.0,
2020-01-13,all,0.0,
2020-01-13,highSE,0.0,
2020-01-13,lowSE,0.0,
2020-01-13,midSE,0.0,
2020-01-14,Bayside (A),0.0,
2020-01-14,Blacktown (C),0.0,
2020-01-14,Burwood (A),0.0,
2020-01-14,Camden (A),0.0,
2020-01-14,Canada Bay (A),0.0,
2020-01-14,Canterbury-Bankstown (A),0.0,
2020-01-14,Central Coast (C) (NSW),0.0,
2020-01-14,Cumberland (A),0.0,
2020-01-14,Fairfield (C),0.0,
2020-01-14,Georges River (A),0.0,
2020-01-14,Hawkesbury (C),0.0,
2020-01-14,Hornsby (A),0.0,
2020-01-14,Hunters Hill (A),0.0,
2020-01-14,Inner West (A),0.0,
2020-01-14,Ku-ring-gai (A),0.0,
2020-01-14,Lane Cove (A),0.0,
2020-01-14,Liverpool (C),0.0,
2020-01-14,Mosman (A),0.0,
2020-01-14,North Sydney (A),0.0,
2020-01-14,Northern Beaches (A),0.0,
2020-01-14,Parramatta (C),0.0,
2020-01-14,Penrith (C),0.0,
2020-01-14,Randwick (C),0.0,
2020-01-14,Ryde (C),0.0,
2020-01-14,Strathfield (A),0.0,
2020-01-14,Sydney (C),0.0,
2020-01-14,The Hills Shire (A),0.0,
2020-01-14,Waverley (A),0.0,
2020-01-14,Willoughby (C),0.0,
2020-01-14,Woollahra (A),0.0,
2020-01-14,all,0.0,
2020-01-14,highSE,0.0,
2020-01-14,lowSE,0.0,
2020-01-14,midSE,0.0,
2020-01-15,Bayside (A),0.0,
2020-01-15,Blacktown (C),0.0,
2020-01-15,Burwood (A),0.0,
2020-01-15,Camden (A),0.0,
2020-01-15,Canada Bay (A),0.0,
2020-01-15,Canterbury-Bankstown (A),0.0,
2020-01-15,Central Coast (C) (NSW),0.0,
2020-01-15,Cumberland (A),0.0,
2020-01-15,Fairfield (C),0.0,
2020-01-15,Georges River (A),0.0,
2020-01-15,Hawkesbury (C),0.0,
2020-01-15,Hornsby (A),0.0,
2020-01-15,Hunters Hill (A),0.0,
2020-01-15,Inner West (A),0.0,
2020-01-15,Ku-ring-gai (A),0.0,
2020-01-15,Lane Cove (A),0.0,
2020-01-15,Liverpool (C),0.0,
2020-01-15,Mosman (A),0.0,
2020-01-15,North Sydney (A),0.0,
2020-01-15,Northern Beaches (A),0.0,
2020-01-15,Parramatta (C),0.0,
2020-01-15,Penrith (C),0.0,
2020-01-15,Randwick (C),0.0,
2020-01-15,Ryde (C),0.0,
2020-01-15,Strathfield (A),0.0,
2020-01-15,Sydney (C),0.0,
2020-01-15,The Hills Shire (A),0.0,
2020-01-15,Waverley (A),0.0,
2020-01-15,Willoughby (C),0.0,
2020-01-15,Woollahra (A),0.0,
2020-01-15,all,0.0,
2020-01-15,highSE,0.0,
2020-01-15,lowSE,0.0,
2020-01-15,midSE,0.0,
2020-01-16,Bayside (A),0.0,
2020-01-16,Blacktown (C),0.0,
2020-01-16,Burwood (A),0.0,
2020-01-16,Camden (A),0.0,
2020-01-16,Canada Bay (A),0.0,
2020-01-16,Canterbury-Bankstown (A),0.0,
2020-01-16,Central Coast (C) (NSW),0.0,
2020-01-16,Cumberland (A),0.0,
2020-01-16,Fairfield (C),0.0,
2020-01-16,Georges River (A),0.0,
2020-01-16,Hawkesbury (C),0.0,
2020-01-16,Hornsby (A),0.0,
2020-01-16,Hunters Hill (A),0.0,
2020-01-16,Inner West (A),0.0,
2020-01-16,Ku-ring-gai (A),0.0,
2020-01-16,Lane Cove (A),0.0,
2020-01-16,Liverpool (C),0.0,
2020-01-16,Mosman (A),0.0,
2020-01-16,North Sydney (A),0.0,
2020-01-16,Northern Beaches (A),0.0,
2020-01-16,Parramatta (C),0.0,
2020-01-16,Penrith (C),0.0,
2020-01-16,Randwick (C),0.0,
2020-01-16,Ryde (C),0.0,
2020-01-16,Strathfield (A),0.0,
2020-01-16,Sydney (C),0.0,
2020-01-16,The Hills Shire (A),0.0,
2020-01-16,Waverley (A),0.0,
2020-01-16,Willoughby (C),0.0,
2020-01-16,Woollahra (A),0.0,
2020-01-16,all,0.0,
2020-01-16,highSE,0.0,
2020-01-16,lowSE,0.0,
2020-01-16,midSE,0.0,
2020-01-17,Bayside (A),0.0,
2020-01-17,Blacktown (C),0.0,
2020-01-17,Burwood (A),0.0,
2020-01-17,Camden (A),0.0,
2020-01-17,Canada Bay (A),0.0,
2020-01-17,Canterbury-Bankstown (A),0.0,
2020-01-17,Central Coast (C) (NSW),0.0,
