date,name,mobility_score,cases_rolling
2020-04-14,Greater Dandenong (C),-0.08229522787417339,0.0
2020-04-14,Hobsons Bay (C),0.05415280794136147,0.0
2020-04-14,Hume (C),-0.016002762969901264,0.14285714285714285
2020-04-14,Kingston (C) (Vic.),0.15709166139392106,
2020-04-14,Knox (C),0.20575727330518578,0.0
2020-04-14,Manningham (C),0.09314065516111834,0.2857142857142857
2020-04-14,Maribyrnong (C),-0.013592503844386285,0.0
2020-04-14,Maroondah (C),0.08193636121987635,0.14285714285714285
2020-04-14,Melbourne (C),-0.04903343841379585,0.14285714285714285
2020-04-14,Melton (C),0.15495549653661742,0.14285714285714285
2020-04-14,Monash (C),5.3718305152382254e-05,0.2857142857142857
2020-04-14,Moonee Valley (C),-0.13952566537349687,0.0
2020-04-14,Moreland (C),-0.00883104852181032,0.2857142857142857
2020-04-14,Mornington Peninsula (S),0.09515045959362305,0.0
2020-04-14,Nillumbik (S),0.8957693826829299,0.14285714285714285
2020-04-14,Port Phillip (C),-0.10310827842528428,0.5714285714285714
2020-04-14,Stonnington (C),-0.10671022717645058,0.14285714285714285
2020-04-14,Whitehorse (C),-0.0378745800613002,0.14285714285714285
2020-04-14,Whittlesea (C),0.03817091960746677,0.14285714285714285
2020-04-14,Wyndham (C),0.11293723171815105,0.0
2020-04-14,Yarra (C),-0.12260524752378409,0.14285714285714285
2020-04-14,all,-0.07697558254375247,4.428571428571429
2020-04-14,highSE,-0.09787561349576848,2.2857142857142856
2020-04-14,lowSE,-0.05890040829367737,1.1428571428571428
2020-04-14,midSE,-0.0741539285607455,1.0
2020-04-15,Banyule (C),0.1517558367329618,1.1428571428571428
2020-04-15,Bayside (C),0.08700752827958329,0.0
2020-04-15,Boroondara (C),-0.037260126032806755,0.0
2020-04-15,Brimbank (C),-0.012573064291195228,0.14285714285714285
2020-04-15,Cardinia (S),0.0901771573631174,0.0
2020-04-15,Casey (C),0.13729313916295457,0.2857142857142857
2020-04-15,Darebin (C),-0.004036122748784918,0.0
2020-04-15,Frankston (C),0.011718439422029455,0.14285714285714285
